STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Prop_1dp_%_n,M,8,2004,2,0.6,
POP,Prop_1dp_%_n,M,8,2005,2,0.5,
POP,Prop_1dp_%_n,M,8,2006,2,0.5,
POP,Prop_1dp_%_n,M,8,2007,2,0.4,
POP,Prop_1dp_%_n,M,8,2008,2,0.4,
POP,Prop_1dp_%_n,M,8,2009,2,0.4,
POP,Prop_1dp_%_n,M,8,2010,2,0.4,
POP,Prop_1dp_%_n,M,8,2011,2,0.4,
POP,Prop_1dp_%_n,M,8,2012,2,0.3,
POP,Prop_1dp_%_n,M,8,2013,2,0.3,
POP,Prop_1dp_%_n,M,8,2014,2,0.4,
POP,Prop_1dp_%_n,M,8,2015,2,0.4,
POP,Prop_1dp_%_n,M,8,2016,2,0.4,
POP,Prop_1dp_%_n,M,8,2017,2,0.4,
POP,Prop_1dp_%_n,M,8,2018,2,0.4,
POP,Prop_1dp_%_n,M,8,2019,2,0.5,
POP,Prop_1dp_%_n,M,8,2020,2,0.5,
POP,Prop_1dp_%_n,M,8,2021,2,0.3,
POP,Prop_1dp_%_n,M,8,2022,2,0.4,
POP,Prop_1dp_%_n,M,9,2000,2,0.6,
POP,Prop_1dp_%_n,M,9,2001,2,0.6,
POP,Prop_1dp_%_n,M,9,2002,2,0.6,
POP,Prop_1dp_%_n,M,9,2003,2,0.6,
POP,Prop_1dp_%_n,M,9,2004,2,0.6,
POP,Prop_1dp_%_n,M,9,2005,2,0.6,
POP,Prop_1dp_%_n,M,9,2006,2,0.5,
POP,Prop_1dp_%_n,M,9,2007,2,0.5,
POP,Prop_1dp_%_n,M,9,2008,2,0.4,
POP,Prop_1dp_%_n,M,9,2009,2,0.4,
POP,Prop_1dp_%_n,M,9,2010,2,0.4,
POP,Prop_1dp_%_n,M,9,2011,2,0.4,
POP,Prop_1dp_%_n,M,9,2012,2,0.4,
POP,Prop_1dp_%_n,M,9,2013,2,0.3,
POP,Prop_1dp_%_n,M,9,2014,2,0.3,
POP,Prop_1dp_%_n,M,9,2015,2,0.4,
POP,Prop_1dp_%_n,M,9,2016,2,0.4,
POP,Prop_1dp_%_n,M,9,2017,2,0.4,
POP,Prop_1dp_%_n,M,9,2018,2,0.4,
POP,Prop_1dp_%_n,M,9,2019,2,0.4,
POP,Prop_1dp_%_n,M,9,2020,2,0.4,
POP,Prop_1dp_%_n,M,9,2021,2,0.5,
POP,Prop_1dp_%_n,M,9,2022,2,0.3,
POP,Prop_1dp_%_n,M,10,2000,2,0.6,
POP,Prop_1dp_%_n,M,10,2001,2,0.6,
POP,Prop_1dp_%_n,M,10,2002,2,0.6,
POP,Prop_1dp_%_n,M,10,2003,2,0.6,
POP,Prop_1dp_%_n,M,10,2004,2,0.6,
POP,Prop_1dp_%_n,M,10,2005,2,0.6,
POP,Prop_1dp_%_n,M,10,2006,2,0.6,
POP,Prop_1dp_%_n,M,10,2007,2,0.5,
POP,Prop_1dp_%_n,M,10,2008,2,0.5,
POP,Prop_1dp_%_n,M,10,2009,2,0.4,
POP,Prop_1dp_%_n,M,10,2010,2,0.4,
POP,Prop_1dp_%_n,M,10,2011,2,0.4,
POP,Prop_1dp_%_n,M,10,2012,2,0.4,
POP,Prop_1dp_%_n,M,10,2013,2,0.4,
POP,Prop_1dp_%_n,M,10,2014,2,0.4,
POP,Prop_1dp_%_n,M,10,2015,2,0.3,
POP,Prop_1dp_%_n,M,10,2016,2,0.4,
POP,Prop_1dp_%_n,M,10,2017,2,0.4,
POP,Prop_1dp_%_n,M,10,2018,2,0.4,
POP,Prop_1dp_%_n,M,10,2019,2,0.4,
POP,Prop_1dp_%_n,M,10,2020,2,0.4,
POP,Prop_1dp_%_n,M,10,2021,2,0.5,
POP,Prop_1dp_%_n,M,10,2022,2,0.5,
POP,Prop_1dp_%_n,M,11,2000,2,0.7,
POP,Prop_1dp_%_n,M,11,2001,2,0.7,
POP,Prop_1dp_%_n,M,11,2002,2,0.6,
POP,Prop_1dp_%_n,M,11,2003,2,0.6,
POP,Prop_1dp_%_n,M,11,2004,2,0.6,
POP,Prop_1dp_%_n,M,11,2005,2,0.6,
POP,Prop_1dp_%_n,M,11,2006,2,0.6,
POP,Prop_1dp_%_n,M,11,2007,2,0.6,
POP,Prop_1dp_%_n,M,11,2008,2,0.6,
POP,Prop_1dp_%_n,M,11,2009,2,0.5,
POP,Prop_1dp_%_n,M,11,2010,2,0.4,
POP,Prop_1dp_%_n,M,11,2011,2,0.4,
POP,Prop_1dp_%_n,M,11,2012,2,0.4,
POP,Prop_1dp_%_n,M,11,2013,2,0.4,
POP,Prop_1dp_%_n,M,11,2014,2,0.4,
POP,Prop_1dp_%_n,M,11,2015,2,0.4,
POP,Prop_1dp_%_n,M,11,2016,2,0.3,
POP,Prop_1dp_%_n,M,11,2017,2,0.4,
POP,Prop_1dp_%_n,M,11,2018,2,0.4,
POP,Prop_1dp_%_n,M,11,2019,2,0.4,
POP,Prop_1dp_%_n,M,11,2020,2,0.3,
POP,Prop_1dp_%_n,M,11,2021,2,0.4,
POP,Prop_1dp_%_n,M,11,2022,2,0.5,
POP,Prop_1dp_%_n,M,12,2000,2,0.7,
POP,Prop_1dp_%_n,M,12,2001,2,0.7,
POP,Prop_1dp_%_n,M,12,2002,2,0.7,
POP,Prop_1dp_%_n,M,12,2003,2,0.6,
POP,Prop_1dp_%_n,M,12,2004,2,0.6,
POP,Prop_1dp_%_n,M,12,2005,2,0.6,
POP,Prop_1dp_%_n,M,12,2006,2,0.6,
POP,Prop_1dp_%_n,M,12,2007,2,0.6,
POP,Prop_1dp_%_n,M,12,2008,2,0.6,
POP,Prop_1dp_%_n,M,12,2009,2,0.6,
POP,Prop_1dp_%_n,M,12,2010,2,0.5,
POP,Prop_1dp_%_n,M,12,2011,2,0.4,
POP,Prop_1dp_%_n,M,12,2012,2,0.4,
POP,Prop_1dp_%_n,M,12,2013,2,0.4,
POP,Prop_1dp_%_n,M,12,2014,2,0.4,
POP,Prop_1dp_%_n,M,12,2015,2,0.4,
POP,Prop_1dp_%_n,M,12,2016,2,0.4,
POP,Prop_1dp_%_n,M,12,2017,2,0.3,
POP,Prop_1dp_%_n,M,12,2018,2,0.4,
POP,Prop_1dp_%_n,M,12,2019,2,0.4,
POP,Prop_1dp_%_n,M,12,2020,2,0.4,
POP,Prop_1dp_%_n,M,12,2021,2,0.3,
POP,Prop_1dp_%_n,M,12,2022,2,0.4,
POP,Prop_1dp_%_n,M,13,2000,2,0.7,
POP,Prop_1dp_%_n,M,13,2001,2,0.7,
POP,Prop_1dp_%_n,M,13,2002,2,0.7,
POP,Prop_1dp_%_n,M,13,2003,2,0.7,
POP,Prop_1dp_%_n,M,13,2004,2,0.6,
POP,Prop_1dp_%_n,M,13,2005,2,0.6,
POP,Prop_1dp_%_n,M,13,2006,2,0.6,
POP,Prop_1dp_%_n,M,13,2007,2,0.6,
POP,Prop_1dp_%_n,M,13,2008,2,0.6,
POP,Prop_1dp_%_n,M,13,2009,2,0.6,
POP,Prop_1dp_%_n,M,13,2010,2,0.6,
POP,Prop_1dp_%_n,M,13,2011,2,0.5,
POP,Prop_1dp_%_n,M,13,2012,2,0.4,
POP,Prop_1dp_%_n,M,13,2013,2,0.4,
POP,Prop_1dp_%_n,M,13,2014,2,0.4,
POP,Prop_1dp_%_n,M,13,2015,2,0.4,
POP,Prop_1dp_%_n,M,13,2016,2,0.4,
POP,Prop_1dp_%_n,M,13,2017,2,0.4,
POP,Prop_1dp_%_n,M,13,2018,2,0.3,
POP,Prop_1dp_%_n,M,13,2019,2,0.4,
POP,Prop_1dp_%_n,M,13,2020,2,0.4,
POP,Prop_1dp_%_n,M,13,2021,2,0.4,
POP,Prop_1dp_%_n,M,13,2022,2,0.3,
POP,Prop_1dp_%_n,M,14,2000,2,0.6,
POP,Prop_1dp_%_n,M,14,2001,2,0.6,
POP,Prop_1dp_%_n,M,14,2002,2,0.7,
