STAT_VAR,STAT_PRES,AGE,CCYY,OBS_VALUE,SD_VALUE
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2001,929,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2002,913,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2003,881,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2004,887,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2005,901,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2006,915,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2007,907,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2008,905,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2009,904,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2010,900,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2011,891,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2012,893,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2013,887,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2014,891,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2015,900,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2016,881,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2017,883,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2018,902,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2019,907,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2020,947,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2021,947,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2022,954,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2023,964,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2000,971,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2001,940,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2002,912,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2003,887,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2004,872,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2005,857,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2006,841,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2007,834,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2008,828,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2009,840,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2010,847,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2011,853,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2012,864,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2013,866,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2014,870,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2015,846,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2016,866,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2017,844,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2018,836,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2019,844,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2020,856,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2021,873,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2022,875,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,35-39,2023,924,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2000,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2001,1054,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2002,1025,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2003,983,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2004,947,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2005,915,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2006,893,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2007,879,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2008,875,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2009,863,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2010,842,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2011,821,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2012,820,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2013,817,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2014,821,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2015,817,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2016,814,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2017,819,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2018,817,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2019,813,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2020,816,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2021,827,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2022,839,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,40-44,2023,837,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2000,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2001,1055,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2002,1039,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2003,1030,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2004,1020,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2005,1016,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2006,1008,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2007,994,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2008,965,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2009,936,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2010,907,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2011,876,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2012,869,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2013,866,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2014,848,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2015,821,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2016,803,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2017,789,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2018,780,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2019,781,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2020,791,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2021,798,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2022,822,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,45-49,2023,808,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2000,1126,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2001,1102,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2002,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2003,1050,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2004,1028,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2005,1017,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2006,1013,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2007,1013,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2008,1008,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2009,1006,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2010,1001,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2011,994,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2012,983,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2013,957,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2014,925,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2015,901,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2016,875,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2017,855,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2018,840,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2019,817,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2020,806,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2021,785,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2022,797,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,50-54,2023,778,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2000,1223,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2001,1178,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2002,1132,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2003,1098,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2004,1067,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2005,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2006,1045,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2007,1026,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2008,1013,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2009,1007,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2010,1002,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2011,996,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2012,999,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2013,998,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2014,994,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2015,988,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2016,988,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2017,970,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2018,934,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2019,898,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2020,871,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2021,844,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2022,832,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,55-59,2023,830,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2000,1120,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2001,1146,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2002,1150,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2003,1164,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2004,1167,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2005,1144,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2006,1102,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2007,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2008,1050,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2009,1029,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2010,1014,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2011,1009,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2012,1002,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2013,995,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2014,985,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2015,984,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2016,978,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2017,976,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2018,974,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2019,972,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2020,979,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2021,970,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2022,949,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,60-64,2023,910,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2000,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2001,1052,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2002,1046,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2003,1042,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2004,1039,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2005,1054,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2006,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2007,1091,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2008,1109,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2009,1125,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2010,1113,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2011,1079,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2012,1042,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2013,1018,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2014,1001,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2015,986,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2016,988,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2017,982,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2018,969,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2019,957,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2020,957,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2021,951,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2022,947,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,65-69,2023,951,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,70-74,2000,936,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,70-74,2001,949,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,70-74,2002,959,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,70-74,2003,978,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,70-74,2004,987,
