STAT_VAR,STAT_PRES,CCYY,M3M,SEX,OBS_VALUE,SD_VALUE
UR,Rate_1dp_%_n,2019,,F,2.3,
UR,Rate_1dp_%_n,2019,,,2.9,
EM,Raw_K_1dp_per_n,2019,,M,1919.7,
EM,Raw_K_1dp_per_n,2019,,F,1951.7,
EM,Raw_K_1dp_per_n,2019,,,3871.4,
LF,Raw_K_1dp_per_n,2020,,M,1954.6,
LF,Raw_K_1dp_per_n,2020,,F,1963.8,
LF,Raw_K_1dp_per_n,2020,,,3918.5,
UR,Rate_1dp_%_n,2020,,M,6.9,
UR,Rate_1dp_%_n,2020,,F,4.7,
UR,Rate_1dp_%_n,2020,,,5.8,
EM,Raw_K_1dp_per_n,2020,,M,1820.1,
EM,Raw_K_1dp_per_n,2020,,F,1870.8,
EM,Raw_K_1dp_per_n,2020,,,3690.9,
LF,Raw_K_1dp_per_n,2021,,M,1923.1,
LF,Raw_K_1dp_per_n,2021,,F,1947.3,
LF,Raw_K_1dp_per_n,2021,,,3870.4,
UR,Rate_1dp_%_n,2021,,M,6.1,
UR,Rate_1dp_%_n,2021,,F,4.2,
UR,Rate_1dp_%_n,2021,,,5.2,
EM,Raw_K_1dp_per_n,2021,,M,1805.1,
EM,Raw_K_1dp_per_n,2021,,F,1865.1,
EM,Raw_K_1dp_per_n,2021,,,3670.2,
LF,Raw_K_1dp_per_n,2022,,M,1886.0,
LF,Raw_K_1dp_per_n,2022,,F,1890.3,
LF,Raw_K_1dp_per_n,2022,,,3776.3,
UR,Rate_1dp_%_n,2022,,M,5.1,
UR,Rate_1dp_%_n,2022,,F,3.5,
UR,Rate_1dp_%_n,2022,,,4.3,
EM,Raw_K_1dp_per_n,2022,,M,1789.5,
EM,Raw_K_1dp_per_n,2022,,F,1823.7,
EM,Raw_K_1dp_per_n,2022,,,3613.2,
